probe,probe_name,dim,gap,nA,nB,p_value
P1,Plausibility,period_specificity,0.264,72,72,0.11897620475904819
P1,Plausibility,concreteness,0.25,72,72,0.0619876024795041
P1,Plausibility,knowledge_invoked,0.278,72,72,0.08838232353529295
P1,Plausibility,locations_cited,-0.625,72,72,0.015796840631873626
P1,Plausibility,anchors,-0.639,72,72,0.1775644871025795
P2,Knowledge-gap,period_specificity,0.014,72,72,1.0
P2,Knowledge-gap,concreteness,-0.069,72,72,0.7220555888822235
P2,Knowledge-gap,knowledge_invoked,0.069,72,72,0.8110377924415118
P2,Knowledge-gap,locations_cited,0.028,72,72,0.9564087182563488
P2,Knowledge-gap,anchors,-0.514,72,72,0.26614677064587083
P3,Stability,period_specificity,0.764,72,72,0.002999400119976005
P3,Stability,concreteness,0.708,72,72,0.0011997600479904018
P3,Stability,knowledge_invoked,0.819,72,72,0.003199360127974405
P3,Stability,locations_cited,0.167,72,72,0.5658868226354729
P3,Stability,anchors,1.056,72,72,0.009398120375924815
P4,Convention,period_specificity,0.361,72,72,0.16616676664667065
P4,Convention,concreteness,0.111,72,72,0.5218956208758249
P4,Convention,knowledge_invoked,0.278,72,72,0.16776644671065788
P4,Convention,locations_cited,-0.042,72,72,0.905618876224755
P4,Convention,anchors,0.514,72,72,0.3225354929014197
P5,Salience,period_specificity,0.847,72,72,0.0023995200959808036
P5,Salience,concreteness,0.458,72,72,0.01219756048790242
P5,Salience,knowledge_invoked,1.111,72,72,0.0001999600079984003
P5,Salience,locations_cited,0.458,72,72,0.05718856228754249
P5,Salience,anchors,0.75,72,72,0.06678664267146571
