probe,probe_name,group,dim,n,mean,ci_lo,ci_hi
P1,Plausibility,A,period_specificity,72,3.958,3.764,4.139
P1,Plausibility,A,concreteness,72,4.25,4.097,4.375
P1,Plausibility,A,knowledge_invoked,72,3.889,3.653,4.097
P1,Plausibility,A,locations_cited,72,1.417,1.139,1.708
P1,Plausibility,A,anchors,72,4.681,4.264,5.111
P1,Plausibility,B,period_specificity,72,3.583,3.25,3.875
P1,Plausibility,B,concreteness,72,3.917,3.625,4.167
P1,Plausibility,B,knowledge_invoked,72,3.694,3.347,4.0
P1,Plausibility,B,locations_cited,72,1.292,0.986,1.611
P1,Plausibility,B,anchors,72,5.069,4.486,5.653
P2,Knowledge-gap,A,period_specificity,72,2.833,2.556,3.097
P2,Knowledge-gap,A,concreteness,72,3.625,3.375,3.861
P2,Knowledge-gap,A,knowledge_invoked,72,2.764,2.472,3.042
P2,Knowledge-gap,A,locations_cited,72,0.903,0.681,1.139
P2,Knowledge-gap,A,anchors,72,3.417,3.0,3.903
P2,Knowledge-gap,B,period_specificity,72,2.028,1.736,2.292
P2,Knowledge-gap,B,concreteness,72,3.486,3.236,3.708
P2,Knowledge-gap,B,knowledge_invoked,72,1.972,1.681,2.25
P2,Knowledge-gap,B,locations_cited,72,0.75,0.569,0.958
P2,Knowledge-gap,B,anchors,72,3.472,3.028,3.944
P3,Stability,A,period_specificity,72,2.597,2.292,2.875
P3,Stability,A,concreteness,72,3.958,3.736,4.153
P3,Stability,A,knowledge_invoked,72,3.056,2.819,3.306
P3,Stability,A,locations_cited,72,0.819,0.611,1.042
P3,Stability,A,anchors,72,3.819,3.292,4.375
P3,Stability,B,period_specificity,72,1.167,0.861,1.486
P3,Stability,B,concreteness,72,2.389,2.028,2.736
P3,Stability,B,knowledge_invoked,72,1.194,0.903,1.514
P3,Stability,B,locations_cited,72,0.319,0.181,0.458
P3,Stability,B,anchors,72,2.056,1.542,2.611
P4,Convention,A,period_specificity,72,3.014,2.708,3.292
P4,Convention,A,concreteness,72,4.069,3.847,4.264
P4,Convention,A,knowledge_invoked,72,3.597,3.333,3.833
P4,Convention,A,locations_cited,72,0.931,0.722,1.139
P4,Convention,A,anchors,72,4.236,3.722,4.722
P4,Convention,B,period_specificity,72,2.125,1.792,2.444
P4,Convention,B,concreteness,72,3.292,3.042,3.556
P4,Convention,B,knowledge_invoked,72,2.5,2.153,2.833
P4,Convention,B,locations_cited,72,0.556,0.375,0.764
P4,Convention,B,anchors,72,2.917,2.389,3.458
P5,Salience,A,period_specificity,72,3.264,3.0,3.542
P5,Salience,A,concreteness,72,4.361,4.167,4.556
P5,Salience,A,knowledge_invoked,72,3.778,3.542,4.028
P5,Salience,A,locations_cited,72,1.389,1.111,1.653
P5,Salience,A,anchors,72,5.278,4.597,5.986
P5,Salience,B,period_specificity,72,2.639,2.264,2.958
P5,Salience,B,concreteness,72,3.889,3.611,4.111
P5,Salience,B,knowledge_invoked,72,2.667,2.333,2.986
P5,Salience,B,locations_cited,72,1.0,0.736,1.278
P5,Salience,B,anchors,72,4.333,3.806,4.917
