probe,probe_name,axis,level,dim,n,mean,ci_lo,ci_hi
P1,Plausibility,grounding,fantastical,period_specificity,72,3.944,3.708,4.153
P1,Plausibility,grounding,fantastical,concreteness,72,4.319,4.111,4.514
P1,Plausibility,grounding,fantastical,knowledge_invoked,72,4.139,3.903,4.375
P1,Plausibility,grounding,fantastical,locations_cited,72,1.472,1.139,1.819
P1,Plausibility,grounding,fantastical,anchors,72,5.486,4.847,6.194
P1,Plausibility,grounding,pure,period_specificity,72,4.542,4.347,4.708
P1,Plausibility,grounding,pure,concreteness,72,4.708,4.583,4.833
P1,Plausibility,grounding,pure,knowledge_invoked,72,4.639,4.486,4.792
P1,Plausibility,grounding,pure,locations_cited,72,1.542,1.167,1.889
P1,Plausibility,grounding,pure,anchors,72,5.764,5.194,6.319
P2,Knowledge-gap,grounding,fantastical,period_specificity,72,3.306,3.0,3.597
P2,Knowledge-gap,grounding,fantastical,concreteness,72,4.222,3.972,4.444
P2,Knowledge-gap,grounding,fantastical,knowledge_invoked,72,3.403,3.056,3.708
P2,Knowledge-gap,grounding,fantastical,locations_cited,72,2.181,1.806,2.583
P2,Knowledge-gap,grounding,fantastical,anchors,72,5.097,4.486,5.847
P2,Knowledge-gap,grounding,pure,period_specificity,72,3.903,3.667,4.125
P2,Knowledge-gap,grounding,pure,concreteness,72,4.264,4.028,4.458
P2,Knowledge-gap,grounding,pure,knowledge_invoked,72,4.056,3.792,4.306
P2,Knowledge-gap,grounding,pure,locations_cited,72,1.653,1.319,2.014
P2,Knowledge-gap,grounding,pure,anchors,72,4.889,4.389,5.431
P3,Stability,grounding,fantastical,period_specificity,72,1.208,0.917,1.514
P3,Stability,grounding,fantastical,concreteness,72,3.333,2.986,3.667
P3,Stability,grounding,fantastical,knowledge_invoked,72,1.653,1.306,2.0
P3,Stability,grounding,fantastical,locations_cited,72,1.333,0.958,1.792
P3,Stability,grounding,fantastical,anchors,72,2.528,1.958,3.167
P3,Stability,grounding,pure,period_specificity,72,2.111,1.792,2.472
P3,Stability,grounding,pure,concreteness,72,3.569,3.306,3.861
P3,Stability,grounding,pure,knowledge_invoked,72,2.167,1.819,2.542
P3,Stability,grounding,pure,locations_cited,72,0.639,0.361,0.986
P3,Stability,grounding,pure,anchors,72,2.833,2.347,3.361
P4,Convention,grounding,fantastical,period_specificity,72,2.444,2.069,2.764
P4,Convention,grounding,fantastical,concreteness,72,4.125,3.889,4.333
P4,Convention,grounding,fantastical,knowledge_invoked,72,3.569,3.306,3.819
P4,Convention,grounding,fantastical,locations_cited,72,0.972,0.667,1.306
P4,Convention,grounding,fantastical,anchors,72,4.889,4.167,5.653
P4,Convention,grounding,pure,period_specificity,72,3.306,3.0,3.611
P4,Convention,grounding,pure,concreteness,72,4.347,4.139,4.542
P4,Convention,grounding,pure,knowledge_invoked,72,3.986,3.736,4.236
P4,Convention,grounding,pure,locations_cited,72,1.486,1.167,1.847
P4,Convention,grounding,pure,anchors,72,5.431,4.847,6.056
P5,Salience,grounding,fantastical,period_specificity,72,1.722,1.375,2.056
P5,Salience,grounding,fantastical,concreteness,72,3.958,3.681,4.222
P5,Salience,grounding,fantastical,knowledge_invoked,72,2.222,1.889,2.556
P5,Salience,grounding,fantastical,locations_cited,72,1.319,1.0,1.639
P5,Salience,grounding,fantastical,anchors,72,3.0,2.417,3.694
P5,Salience,grounding,pure,period_specificity,72,2.875,2.5,3.208
P5,Salience,grounding,pure,concreteness,72,4.25,4.014,4.444
P5,Salience,grounding,pure,knowledge_invoked,72,2.917,2.556,3.25
P5,Salience,grounding,pure,locations_cited,72,1.528,1.208,1.861
P5,Salience,grounding,pure,anchors,72,3.5,3.042,4.0
