scope,variant,n,cut,expand,voice_shift,structural,mixed,unclear,cut_n,expand_n,voice_shift_n,structural_n,mixed_n,unclear_n
pooled,neutral,36,0.0,0.0,0.056,0.0,0.944,0.0,0,0,2,0,34,0
pooled,selective,36,0.083,0.0,0.0,0.0,0.917,0.0,3,0,0,0,33,0
pooled,selective_blind,36,0.056,0.0,0.028,0.0,0.917,0.0,2,0,1,0,33,0
per_probe,neutral,540,0.052,0.106,0.152,0.007,0.667,0.017,28,57,82,4,360,9
per_probe,selective,540,0.23,0.004,0.091,0.0,0.674,0.002,124,2,49,0,364,1
per_probe,selective_blind,540,0.189,0.028,0.093,0.006,0.685,0.0,102,15,50,3,370,0
per_probe,probe_P1,324,0.028,0.009,0.21,0.012,0.741,0.0,9,3,68,4,240,0
per_probe,probe_P2,324,0.269,0.006,0.006,0.0,0.719,0.0,87,2,2,0,233,0
per_probe,probe_P3,324,0.315,0.0,0.272,0.0,0.414,0.0,102,0,88,0,134,0
per_probe,probe_P4,324,0.062,0.086,0.046,0.0,0.796,0.009,20,28,15,0,258,3
per_probe,probe_P5,324,0.111,0.127,0.025,0.009,0.707,0.022,36,41,8,3,229,7
