probe,variant,n,cut,expand,voice_shift,structural,mixed,unclear,cut_n,expand_n,voice_shift_n,structural_n,mixed_n,unclear_n
P1,neutral,108,0.0,0.019,0.204,0.009,0.769,0.0,0,2,22,1,83,0
P1,selective,108,0.046,0.009,0.204,0.0,0.741,0.0,5,1,22,0,80,0
P1,selective_blind,108,0.037,0.0,0.222,0.028,0.713,0.0,4,0,24,3,77,0
P2,neutral,108,0.056,0.019,0.0,0.0,0.926,0.0,6,2,0,0,100,0
P2,selective,108,0.398,0.0,0.0,0.0,0.602,0.0,43,0,0,0,65,0
P2,selective_blind,108,0.352,0.0,0.019,0.0,0.63,0.0,38,0,2,0,68,0
P3,neutral,108,0.157,0.0,0.472,0.0,0.37,0.0,17,0,51,0,40,0
P3,selective,108,0.37,0.0,0.167,0.0,0.463,0.0,40,0,18,0,50,0
P3,selective_blind,108,0.417,0.0,0.176,0.0,0.407,0.0,45,0,19,0,44,0
P4,neutral,108,0.019,0.176,0.056,0.0,0.722,0.028,2,19,6,0,78,3
P4,selective,108,0.139,0.0,0.037,0.0,0.824,0.0,15,0,4,0,89,0
P4,selective_blind,108,0.028,0.083,0.046,0.0,0.843,0.0,3,9,5,0,91,0
P5,neutral,108,0.028,0.315,0.028,0.028,0.546,0.056,3,34,3,3,59,6
P5,selective,108,0.194,0.009,0.046,0.0,0.741,0.009,21,1,5,0,80,1
P5,selective_blind,108,0.111,0.056,0.0,0.0,0.833,0.0,12,6,0,0,90,0
