variant,dim,left,right,meanA,meanB,gap,nA,nB,p_value
neutral,editorial_commitment,A,AB,3.817,3.611,0.206,180,180,0.10237952409518096
neutral,takeaway_count,A,AB,3.128,3.694,-0.567,180,180,0.0001999600079984003
neutral,editorial_commitment,B,AB,3.806,3.611,0.194,180,180,0.13857228554289142
neutral,takeaway_count,B,AB,3.367,3.694,-0.328,180,180,0.009598080383923215
neutral,editorial_commitment,A,B,3.817,3.806,0.011,180,180,0.9656068786242752
neutral,takeaway_count,A,B,3.128,3.367,-0.239,180,180,0.03719256148770246
selective,editorial_commitment,A,AB,4.994,5.0,-0.006,180,180,1.0
selective,takeaway_count,A,AB,6.494,7.011,-0.517,180,180,0.010997800439912017
selective,editorial_commitment,B,AB,5.0,5.0,0.0,180,180,1.0
selective,takeaway_count,B,AB,6.456,7.011,-0.556,180,180,0.004199160167966407
selective,editorial_commitment,A,B,4.994,5.0,-0.006,180,180,1.0
selective,takeaway_count,A,B,6.494,6.456,0.039,180,180,0.8484303139372126
selective_blind,editorial_commitment,A,AB,5.0,5.0,0.0,180,180,1.0
selective_blind,takeaway_count,A,AB,6.533,7.106,-0.572,180,180,0.005598880223955209
selective_blind,editorial_commitment,B,AB,5.0,5.0,0.0,180,180,1.0
selective_blind,takeaway_count,B,AB,6.633,7.106,-0.472,180,180,0.02299540091981604
selective_blind,editorial_commitment,A,B,5.0,5.0,0.0,180,180,1.0
selective_blind,takeaway_count,A,B,6.533,6.633,-0.1,180,180,0.6334733053389322
